iter	Passed	Remaining
0	52	52254
1	54	27342
2	57	18989
3	59	14819
4	61	12306
5	64	10643
6	66	9445
7	68	8539
8	71	7852
9	73	7277
10	75	6812
11	77	6416
12	80	6089
13	82	5845
14	85	5602
15	87	5376
16	89	5182
17	91	5006
18	93	4846
19	95	4701
20	98	4596
21	101	4490
22	103	4376
23	105	4277
24	107	4187
25	109	4118
26	112	4049
27	114	3970
28	116	3902
29	118	3834
30	120	3771
31	122	3712
32	124	3656
33	126	3604
34	129	3563
35	131	3516
36	133	3477
37	135	3434
38	137	3391
39	139	3351
40	141	3314
41	144	3300
42	146	3266
43	148	3232
44	150	3201
45	152	3170
46	155	3144
47	157	3114
48	160	3106
49	162	3080
50	164	3057
51	166	3033
52	168	3008
53	170	2983
54	172	2959
55	174	2948
56	177	2929
57	179	2909
58	181	2890
59	183	2869
60	185	2851
61	187	2833
62	190	2828
63	192	2812
64	194	2796
65	196	2780
66	198	2763
67	200	2749
68	202	2736
69	205	2727
70	207	2712
71	209	2699
72	211	2684
73	213	2670
74	215	2657
75	217	2643
76	220	2640
77	222	2631
78	225	2623
79	227	2611
80	229	2598
81	231	2586
82	233	2574
83	235	2566
84	237	2561
85	239	2550
86	242	2539
87	244	2529
88	246	2518
89	248	2508
90	250	2503
91	253	2497
92	255	2492
93	257	2483
94	259	2473
95	261	2464
96	263	2454
97	266	2451
98	268	2442
99	270	2433
100	272	2425
101	274	2416
102	276	2409
103	278	2403
104	281	2402
105	285	2406
106	287	2400
107	289	2394
108	292	2387
109	294	2380
110	298	2388
111	300	2383
112	303	2379
113	305	2372
114	307	2368
115	310	2364
116	313	2363
117	315	2358
118	318	2355
119	320	2349
120	322	2343
121	324	2338
122	328	2339
123	331	2339
124	333	2334
125	335	2329
126	338	2323
127	340	2318
128	343	2320
129	345	2315
130	348	2311
131	351	2308
132	353	2302
133	355	2296
134	358	2295
135	360	2291
136	362	2285
137	365	2280
138	367	2274
139	369	2267
140	371	2261
141	373	2258
142	376	2253
143	378	2248
144	380	2242
145	382	2236
146	384	2229
147	386	2223
148	388	2220
149	391	2215
150	393	2209
151	395	2204
152	397	2200
153	399	2194
154	401	2189
155	404	2188
156	406	2183
157	409	2179
158	411	2174
159	413	2170
160	415	2167
161	418	2167
162	421	2164
163	423	2159
164	425	2154
165	427	2149
166	429	2144
167	431	2139
168	434	2136
169	436	2131
170	439	2128
171	441	2123
172	443	2118
173	445	2113
174	447	2108
175	449	2106
176	451	2101
177	453	2095
178	455	2090
179	457	2085
180	459	2080
181	461	2075
182	464	2073
183	466	2068
184	468	2064
185	470	2059
186	472	2054
187	474	2050
188	476	2046
189	479	2044
190	481	2040
191	483	2036
192	486	2032
193	488	2028
194	490	2023
195	492	2018
196	495	2017
197	497	2013
198	499	2008
199	501	2004
200	503	1999
201	505	1995
202	507	1990
203	509	1987
204	512	1985
205	514	1981
206	516	1977
207	518	1972
208	520	1968
209	522	1964
210	524	1962
211	527	1960
212	529	1957
213	532	1954
214	534	1949
215	536	1945
216	538	1941
217	540	1939
218	543	1937
219	545	1932
220	547	1928
221	549	1924
222	551	1920
223	553	1916
224	555	1912
225	557	1910
226	559	1906
227	562	1903
228	564	1899
229	566	1895
230	568	1891
231	570	1888
